id,title,image_link,country,years,director_description,leader,star,description,alltags,imdb,language,time_length
755898,世界大战,https://image.tmdb.org/t/p/w500/9RLZ48UeVpICPWa7jK2pZPOp2Ve.jpg,United States of America,2025,Rich Lee,艾斯·库珀/伊娃·朗格里亚/克拉克·格雷格/Iman Benson/Henry Hunter Hall,4.303,威尔·拉德福德是国土安全部的顶级网络安全分析师，他通过大规模监控项目追踪国家安全的潜在威胁。直到有一天，一个不明实体的攻击让他开始怀疑政府是否对他……以及世界其他地方隐瞒了什么。,科幻/惊悚,tt13186306,en,145分钟
1433719,制高点,https://image.tmdb.org/t/p/w500/cqF7xuZWbBYXWHsp1I1H5PwujPs.jpg,United States of America,2025,詹姆斯·班福德,查理·韦伯/乔恩·沃伊特/凱瑟琳·麥克納馬拉/亨利·托马斯/James Oliver Wheatley,5.79,当一个神秘的囚犯在他的监狱着陆时，一个边境城镇的警长面临着一个残忍的卡特尔的愤怒。,惊悚/犯罪/动作,tt35669717,en,92分钟
1481331,Nahual,https://image.tmdb.org/t/p/w500/gQZn4Rx3LpIBnFunH1AKxAMYYd9.jpg,未知,2025,Ricardo Islas,Jenny Sanchez/Diego Herrera/Miriam Román/Kristy V Acosta,3.2,,恐怖,tt32293642,en,98分钟
425274,惊天魔盗团3,https://image.tmdb.org/t/p/w500/ew4YPi9d0korzDmAOC9N1SCjYp0.jpg,United States of America,2025,鲁本·弗雷斯彻,杰西·艾森伯格/多米尼克·塞萨/阿丽亚娜·格林布拉特/贾斯提斯·史密斯/裴淳华,6.3,　　因神秘塔罗牌的指引，那群用魔术“替天行盗”的骑士们杀回来了！“初代四骑士”与三位新生代魔术师携手，目标直指一位钻石大亨——其家族凭借庞大资本与隐秘势力，构建了全球性犯罪网络，也为骑士团布下层层陷阱！面对史上最难的“盗窃任务”，骑士们再现奇迹，上演横跨全球的魔术大秀，与“血色钻石家族”展开骗中骗、局中局、计中计的巅峰博弈……,惊悚/犯罪/悬疑,tt4712810,en,112分钟
1248226,玩爆约会,https://image.tmdb.org/t/p/w500/fGodXWqJkkkbSebPIlxLSygV8GY.jpg,United States of America/Canada,2025,卢克·格林菲尔德,凯文·詹姆斯/阿兰·里奇森/萨拉·朝克/艾拉·菲舍尔/艾伦·图代克,6.133,失业会计师布莱恩应邀与全职爸爸杰夫一起带着他们的儿子们玩耍，他原本以为会度过一个轻松愉快的下午。然而，他们却遭到一群雇佣兵的追杀，毫无准备的布莱恩不得不一次又一次地克服各种荒诞的障碍。,动作/喜剧/家庭,tt31425731,en,93分钟
1311031,鬼灭之刃：无限城篇 第一章 猗窝座再袭,https://image.tmdb.org/t/p/w500/bhIytk0hlaHmGrQFY9P7bWhZZfC.jpg,Japan,2025,外崎春雄,花江夏树/下野纮/樱井孝宏/石田彰/松冈祯丞,7.592,当鬼杀队的成员和柱之人在为即将到来的与鬼的战斗做准备，完成共同的体能训练——柱之训练时，鬼舞辻无惨在产屋敷宅邸出现。由于鬼杀队的主公处于危险之中，炭治郎和柱急忙赶往总部，但却被鸣女推入一个神秘的异空间。炭治郎和鬼杀队的目标是鬼的堡垒——无限城。因此，鬼杀队和鬼之间的最终战斗的战场已经准备就绪。,动画/动作/奇幻/惊悚,tt32820897,ja,155分钟
203101,学园默示录：尸海漂浮,https://image.tmdb.org/t/p/w500/jlRGVYItWkDIJg4OZp9S2g5lKuc.jpg,Japan,2011,荒木哲郎,井上麻里奈/喜多村英梨/泽城美雪/桧山修之/福井裕佳梨,7.444,在他们努力寻找躲避僵尸末日的安全避难所时，这群人发现自己来到了一个荒岛上。现在，他们利用这短暂的喘息之机享受冲浪、沙滩和泳装！,喜剧/动画/冒险/恐怖,tt5799076,ja,18分钟
1197137,黑色电话2,https://image.tmdb.org/t/p/w500/kMo1mRFnSDId6mj0Jvqh22RNS6S.jpg,United States of America,2025,斯科特·德里克森,伊桑·霍克/梅森·泰晤士/玛德琳·麦格劳/德米安·比齐尔/米格尔·莫拉,6.852,在逃离“掳童怪”的四年后，芬尼·布莱克依然难以从那段被囚禁的经历中恢复。妹妹格温在梦中开始接到来自那部黑色电话的来电，并看见三个男孩在冬令营中被神秘人跟踪的可怕景象。兄妹俩决定揭开真相，直面那个在死后变得更为强大、也与他们命运纠缠得愈发紧密的杀手。,恐怖/惊悚,tt29644189,en,114分钟
1128650,误判,https://image.tmdb.org/t/p/w500/n7lu7p8Sv0AR9PaTIfA6fhevqi3.jpg,China/Hong Kong,2024,甄子丹,甄子丹/吴镇宇/张智霖/郑则仕/许冠文,6.8,贫苦青年马志杰借出了住址而误收毒品包裹，在辩护律师的诱骗和误导下承认了贩毒控罪。曾是干探的检察官霍子豪凭其警察触觉和执着，不惜违规为此冤案展开调查，抽丝剥茧揭开辩护律师团队的真面目。在欧柏文等恶势力的重重阻挠下，霍子豪勇破难关且设下圈套，成功还原真相并将真正罪犯绳之以法，守住了法律的威严，阻止了一次无情的误判。,动作/剧情/犯罪/惊悚,tt30024043,cn,118分钟
701387,拯救地球,https://image.tmdb.org/t/p/w500/b5BInTXQHEMF3AxlJb9yCcMXTr6.jpg,Ireland/South Korea/United States of America/Canada,2025,约戈斯·兰西莫斯,艾玛·斯通/杰西·普莱蒙/Aidan Delbis/Stavros Halkias/艾丽西亚·西尔弗斯通,7.616,两名痴迷阴谋论的年轻男子绑架了某大公司位高权重的首席执行官，他们坚信对方是一名蓄意毁灭地球的外星人。,喜剧/犯罪/科幻,tt12300742,en,119分钟
1084222,猎血行动,https://image.tmdb.org/t/p/w500/wYf4Eq3c4iOa856tEwh3GHruHZW.jpg,Thailand/United States of America,2024,路易斯·曼迪勒,乔纳森·莱斯·梅耶斯/路易斯·曼迪勒/彼得·多布森/奎顿·杰克逊/Sonia Couling,6.734,"一群被拒之门外的美军士兵来到偏远的南太平洋岛屿，调查 1944 年驻扎在那里的海军陆战队失踪事件，据说他们是在日本军队手中失踪的。他们很快发现，这些海军陆战队员是被一群狼人屠杀的，大多数人都称他们为 ""狼人""......",动作/冒险/恐怖,tt23553640,en,94分钟
1327862,为你遗憾,https://image.tmdb.org/t/p/w500/75EjcPb8oVexrVUY3md0ZjCbHeR.jpg,United States of America/Germany,2025,乔什·布恩,麦肯娜·格瑞丝/艾莉森·威廉姆斯/戴夫·弗兰科/梅森·泰晤士/薇拉·菲茨杰拉德,7.015,　　一宗牵涉两条人命的严重交通意外，揭开了令人震惊的秘密；一对母女被迫面对家族的伤痕，探索爱的定义，并重新认识彼此。  　　影片改编自《爱情，到此为止》原作者科琳·胡佛的同名畅销小说。,爱情/剧情,tt33088452,en,116分钟
1244531,战争猛兽,https://image.tmdb.org/t/p/w500/2xgDjVEOtu5LlbPEngxfbCqWEFg.jpg,Australia,2025,基亚·罗奇-特纳,Mark Coles Smith/Joel Nankervis/Lee Tiger Halley/劳伦·格里姆森/Steve Le Marquand,6.4,在二战期间横渡帝汶海时，一艘载有澳大利亚年轻士兵的船只不幸沉没。这群年轻人被困于急速缩小的救生筏上，必须在严酷海域中挣扎求生。身处远离人烟的数百里外，他们不仅要面对内部冲突与敌军袭击，更需抵御一条异常庞大、饥肠辘辘的大白鲨的步步逼近。,惊悚/恐怖/战争/动作,tt29468874,en,87分钟
1241983,火车梦,https://image.tmdb.org/t/p/w500/koXjBzWUTfaATD4ReuR9FNOnbhg.jpg,United States of America,2025,Clint Bentley,乔尔·埃哲顿/菲丽希缇·琼斯/Nathaniel Arcand 纳撒尼尔·阿坎德/小克利夫顿·克林斯/约翰·迪尔,7.384,影片改编自丹尼斯·约翰逊的中篇小说。讲述在20世纪初瞬息万变的美国，伐木工兼铁路工人罗伯特·格雷尼尔致力于修建横跨美国的铁路，经历了有着意想不到的深度、美丽和奇异的生活。,剧情,tt29768334,en,103分钟
1026821,大雨,https://image.tmdb.org/t/p/w500/3CsivmtcjwMUvU0Mu7zZgnK9QaR.jpg,China,2024,不思凡,陈浩/杏林儿,6.0,　　沉没5年的戏鼓船，近期又离奇出现了，传言上有宝贝。馒头随父亲前来寻宝，不料父亲被船员抓走。馒头为救父上船，却发现里面别有洞天。在这里，馒头遇到了形形色色的“戏伶人”，并成为了好友。一次意外中，馒头却被告知，戏鼓船上却只有亡魂……,动画/奇幻/动作/冒险,tt29615160,zh,101分钟
803796,K-POP：猎魔女团,https://image.tmdb.org/t/p/w500/1nlh9b8Dc7yng1hx3fq1f7QREkm.jpg,United States of America,2025,Maggie Kang/Chris Appelhans,赵雅顿/梅·洪/柳智英/安孝燮/金允珍,8.214,K-pop 超级明星鲁米、米拉和佐伊如果不是在座无虚席的体育场举办演唱会，就是在利用自己的秘密力量保护粉丝们免受超自然威胁。,奇幻/音乐/喜剧/动画,tt14205554,en,96分钟
1296504,坚守阵地,https://image.tmdb.org/t/p/w500/vKB59pPIYvjRxxEXoRoyUfaiBoD.jpg,United States of America,2025,Fansu Njie,Daniel Stisen/彼得·斯特曼/埃里克·罗伯茨/亚当·巴西尔/小田部阿基,4.614,一名特种部队士兵使用“坚守阵地法”为家人被谋杀报仇。,动作/惊悚/犯罪,tt30826955,en,109分钟
7451,极限特工,https://image.tmdb.org/t/p/w500/fPS0MgOCD7VmFy4EVmq21cr0BFC.jpg,United States of America,2002,罗伯·科恩,范·迪塞尔/艾莎·阿基多/马尔顿·索克斯/塞缪尔·杰克逊/迈克尔·鲁夫,5.976,克桑德是极限运动界的明星，但他离经叛道，总是以他的身手对社会上那些败类名流发出挑战，当地警方对他也经常无可奈何。特工头子奥古斯塔斯看上了克桑德，于是派人将他抓了回来，说服他前往捷克进行一项危险而艰巨的任务。捷克的地下犯罪组织头子尤里正在进行一项疯狂的计划，他抓走了很多前苏联的科学家，利用他们研究一种威力无比的武器——毒气弹。他企图利用即将研制成功的武器引起世界大战，进而达到他统治世界的目的。克桑德以走私汽车贩子的身份前往捷克接近了尤里的组织，一场惊心动魄的行动展开了！,动作/冒险/惊悚/犯罪/剧情,tt0295701,en,124分钟
1218925,电锯人 - 剧场版：蕾塞篇,https://image.tmdb.org/t/p/w500/mnauEV7WyvI5zVDvqqBRswNPyfO.jpg,Japan,2025,吉原达矢,户谷菊之介/上田丽奈/井泽诗织/楠木灯/坂田将吾,7.82,"故事延续TV动画的最终章，讲述男主角电次在偶然邂逅的神秘少女雷泽的庇护下，在快节奏的战斗中，奔向难以预测的命运。 电次，一个少年，与“电锯恶魔”签订契约，化身“电锯人”，成为隶属于公安部魔物对策特别课四课的魔物猎人，与魔物战斗。正兴奋地等待着与心仪的女性、公安部上司真喜真约会，却遭遇突如其来的暴雨，不得不在雨中避雨。在避雨的过程中，他邂逅了名为雷泽的少女。在附近咖啡馆工作的雷泽对电次露出了和善的笑容，两人迅速成为了好朋友。这次邂逅标志着电次的日常生活发生了重大改变。",动画/动作/爱情/奇幻,tt30472557,ja,100分钟
937941,谢尔比橡树,https://image.tmdb.org/t/p/w500/yAN5iYIh5b6MD09qF5qQdDVlUzJ.jpg,United States of America/Belgium,2025,Chris Stuckmann,卡米尔·沙利文/Sarah Durn/布兰登·塞克斯顿/罗宾·巴特利特/迈克尔·比奇,5.725,一个女人痴迷地寻找她失踪的妹妹，使她陷入一个未知的邪恶手中的可怕谜团。,恐怖/悬疑,tt14999684,en,91分钟
1280518,Laberinto de sombras,https://image.tmdb.org/t/p/w500/565kBAr0hvgLbJKyAd3dUKk2xn0.jpg,未知,2024,Alfredo Contreras,Allende García/Miriam Ortas/Fede Alonso/Jose Antonio Ortas Cayuela/Fernando Esteso,4.5,,恐怖,,es,0分钟
402431,魔法坏女巫,https://image.tmdb.org/t/p/w500/uyv7ysQMJSYJ2Mfvg1LkoDjUSIf.jpg,United States of America,2024,朱浩伟,辛西娅·埃里沃/爱莉安娜·格兰德/杨紫琼/乔纳森·贝利/伊桑·斯莱特,6.916,因绿色皮肤而备受误解的艾芙芭与光彩夺目、野心勃勃的格琳达在西兹大学结识，性格迥异的二人却建立起了深厚的友谊。然而，随着与奥兹国大巫师的邂逅，她们的友谊走向十字路口，二人面临着截然不同的命运之路。,剧情/爱情/奇幻,tt1262426,en,161分钟
1130276,魅魔,https://image.tmdb.org/t/p/w500/984IlIRTe4fnrNZvRMBYNXqVMMr.jpg,United States of America,2024,R.J. Daniel Hanna,Brendan Bradley/理查德 库克/Olivia Grace Applegate/Derek Smith/Emily Kincaid,8.956,　　经历了与妻子分居的新手父亲下载了一个交友软件，想让自己困惑的心绪得到缓解。很快他便在软件上结识了一位美女并快速地与之建立起了联系，然而他也意识到自己掉入了一个可怕的旋涡之中。,恐怖/惊悚,tt13778486,en,103分钟
1468417,血色初现,https://image.tmdb.org/t/p/w500/hcjYvv4k9qs0lDG1Q3GIglT30IW.jpg,未知,2025,Peter McLeod,劳伦·埃斯波西托/Julian Curtis/Shannon Ryan/Soren Jensen/Mitchell Slater,4.021,,恐怖/惊悚,tt26920256,en,97分钟
1038392,招魂4：终章,https://image.tmdb.org/t/p/w500/uYqkcZ6CdYjtndhrg2s43wEdc7k.jpg,United States of America,2025,迈克尔·查韦斯,维拉·法米加/帕特里克·威尔森/米娅·汤姆林森/本·哈迪/Rebecca Calder,6.978,故事设定在1986年，即《招魂3》的五年后。沃伦夫妇因艾德在第三部中经历恶灵事件而突发心脏病，已正式退休，不再从事驱魔工作。他们仍会到大学巡回演讲，但连这类机会也在逐渐减少。一些事件最终还是让他们重返战场。这次的核心案件，是沃伦夫妇生涯中最著名的一起事件之一：斯莫尔家族闹鬼案。据“新英格兰通灵研究协会”（由艾德与洛琳的现实中的女儿朱迪和女婿托尼·斯佩拉负责运营）称，1970年代，珍妮特与杰克·斯莫尔搬入宾夕法尼亚州西皮特斯顿查斯街上的一套复式住宅。随后数年，包括他们的女儿与杰克的父母在内的家人纷纷声称经历了超自然现象，从怪味、怪声到鬼魂骚扰等。,恐怖,tt22898462,en,135分钟
1265063,猎杀之后,https://image.tmdb.org/t/p/w500/A62f2XlpJYsVpSl2xIzfRCnz70o.jpg,United States of America/Italy,2025,卢卡·瓜达尼诺,朱莉娅·罗伯茨/阿尤·艾德维利/安德鲁·加菲尔德/克洛伊·塞维尼/迈克尔·斯图巴,5.962,　　一位大学教授的学生指控她的同事行为不端，为了保护这位女学生，她本人一段尘封的黑暗往事面临曝光的风险，女教授的忠诚、道德和真相本身都受到了严峻的考验，这让她陷入了个人生活与职业生涯的双重危机。,剧情,tt32159989,en,139分钟
1265063,猎杀之后,https://image.tmdb.org/t/p/w500/A62f2XlpJYsVpSl2xIzfRCnz70o.jpg,United States of America/Italy,2025,卢卡·瓜达尼诺,朱莉娅·罗伯茨/阿尤·艾德维利/安德鲁·加菲尔德/克洛伊·塞维尼/迈克尔·斯图巴,5.962,　　一位大学教授的学生指控她的同事行为不端，为了保护这位女学生，她本人一段尘封的黑暗往事面临曝光的风险，女教授的忠诚、道德和真相本身都受到了严峻的考验，这让她陷入了个人生活与职业生涯的双重危机。,剧情,tt32159989,en,139分钟
617126,神奇四侠：初露锋芒,https://image.tmdb.org/t/p/w500/mLLRlXftxQl7vagEqHKbk73a7ZC.jpg,United States of America,2025,麦特·夏克曼,佩德罗·帕斯卡/凡妮莎•柯比/爱波·莫斯-巴克拉赫/约瑟夫·奎恩/拉尔夫·伊内森,7.045,神奇先生、隐形女、霹雳火和石头人面对来自宇宙级威胁“行星吞噬者”及其使者“银影侠”对地球上所有生灵的威胁，四人必须在家庭羁绊与英雄使命间抉择，挺身而出接受这个前所未有的严峻挑战。更令人措手不及的是，这场关乎地球存亡的危机竟与他们有着意想不到的关联。,科幻/冒险/动作,tt10676052,en,115分钟
1429738,悍匪传奇,https://image.tmdb.org/t/p/w500/aedrDFoL7W5TgnyGOsFcBJNG2iy.jpg,Thailand,2025,Nonzee Nimibutr,陈立波/วิศรุต หิมรัตน์/สุภัสสรา ธนชาต/萨达农·杜隆卡沃/翁艺术,4.847,在 20 世纪 80 年代的曼谷，狡猾的窃匪犯下一连串大胆劫案，令当局和公众感到无所适从，于是一名警察决心将其捉拿归案。,犯罪/动作/剧情,tt35669044,th,117分钟
269149,疯狂动物城,https://image.tmdb.org/t/p/w500/6L0nYQqqEYPaSMjmsWH8dr8I4Sk.jpg,United States of America,2016,拜恩·霍华德/里奇·摩尔,詹妮弗·古德温/杰森·贝特曼/伊德瑞斯·艾尔巴/珍妮·斯蕾特/内特·托伦斯,7.8,疯狂动物城是一座独一无二的现代动物都市。每种动物在这里都有自己的居所，比如富丽堂皇的撒哈拉广场，或者常年严寒的冰川镇。它就像一座大熔炉，动物们在这里和平共处——无论是大象还是小老鼠，只要你努力，都能在此闯出一番名堂。不过乐观的警官兔朱迪（金妮弗·古德温 Ginnifer Goodwin 配音）却发现，作为史上第一任兔子警官，要和一群强硬的大块头动物警察合作可不是件容易事。为了证明自己，她决心侦破一桩神秘案件；追寻真相的路上她被迫与口若悬河、谎技高超的狐尼克（杰森·贝特曼 Jason Bateman 配音）联手，却发现这桩案件背后隐藏着一个意欲颠覆动物城的巨大阴谋……,动画/冒险/家庭/喜剧,tt2948356,en,109分钟
1237082,31分钟：热火朝天圣诞夜,https://image.tmdb.org/t/p/w500/dv9UrOoicRiMGkzr2oj2YwSFY2K.jpg,Chile/United States of America,2025,Pedro Peirano/Álvaro Díaz González,Pedro Peirano/Álvaro Díaz González/Jani Dueñas/Patricio Díaz/Daniel Castro,7.941,在“31分钟小镇”普佩顿，圣诞节酷热难耐，圣诞老人竟然取消了行程！兔子博多克英勇地自告奋勇要从北极拯救礼物，而他的朋友们则即兴排练了一场灾难性的圣诞演出。但他们万万没想到的是，博多克在途中竟然抵挡不住一些难以抗拒的诱惑。,家庭/喜剧/冒险/音乐,tt38774646,es,91分钟
1242419,屋顶人,https://image.tmdb.org/t/p/w500/uhXxW7EmzZIWFVpbF42r6L2g7Oh.jpg,United States of America,2025,Derek Cianfrance,查宁·塔图姆/克斯汀·邓斯特/本·门德尔森/拉基思·斯坦菲尔德/朱诺·坦普尔,7.197,　　一名前美国陆军游骑兵兼生活困顿的父亲，因走投无路而开始抢劫麦当劳餐厅，他通过在屋顶上凿洞潜入行窃，因此得名“屋顶人”。他被捕入狱后越狱，在一家玩具反斗城商场内秘密藏身长达六个月，神不知鬼不觉地生存下来，同时策划下一步行动。然而，当他爱上一位被他无法抗拒的魅力所吸引的单身母亲时，他的双重生活开始逐渐暴露。随着过往的阴影步步逼近，一场扣人心弦、充满悬念的猫鼠游戏就此展开。,喜剧/剧情/犯罪,tt4627382,en,126分钟
1223601,永生战士2,https://image.tmdb.org/t/p/w500/kiVSRymeEmXspPvs1KJM5aeWi81.jpg,Finland/United Kingdom,2025,贾马里·赫兰德,乔玛·汤米拉/史蒂芬·朗/理查德·布拉克/汤米·科尔佩拉/Kaspar Velberg,7.4,,动作/战争,tt31844586,fi,89分钟
